Animal,Animal_path,Camera,UAV_path,Speed,Bias,Total_hits,Actual_hits
reef,straight,garmin,lawnmower,1,yes,7,2
reef,straight,garmin,lawnmower,1,no,7,2
reef,straight,garmin,lawnmower,2,yes,9,2
reef,straight,garmin,lawnmower,2,no,7,2
reef,straight,garmin,figure8,1,yes,0,0
reef,straight,garmin,figure8,1,no,0,0
reef,straight,garmin,figure8,2,yes,0,0
reef,straight,garmin,figure8,2,no,0,0
reef,straight,sony,lawnmower,1,yes,0,0
reef,straight,sony,lawnmower,1,no,0,0
reef,straight,sony,lawnmower,2,yes,0,0
reef,straight,sony,lawnmower,2,no,0,0
reef,straight,sony,figure8,1,yes,0,0
reef,straight,sony,figure8,1,no,0,0
reef,straight,sony,figure8,2,yes,0,0
reef,straight,sony,figure8,2,no,0,0
reef,straight,nadir,lawnmower,1,yes,11,2
reef,straight,nadir,lawnmower,1,no,9,2
reef,straight,nadir,lawnmower,2,yes,10,2
reef,straight,nadir,lawnmower,2,no,10,2
reef,straight,nadir,figure8,1,yes,0,0
reef,straight,nadir,figure8,1,no,0,0
reef,straight,nadir,figure8,2,yes,0,0
reef,straight,nadir,figure8,2,no,0,0
reef,stop25,garmin,lawnmower,1,yes,6,2
reef,stop25,garmin,lawnmower,1,no,7,2
reef,stop25,garmin,lawnmower,2,yes,8,2
reef,stop25,garmin,lawnmower,2,no,8,2
reef,stop25,garmin,figure8,1,yes,0,0
reef,stop25,garmin,figure8,1,no,0,0
reef,stop25,garmin,figure8,2,yes,0,0
reef,stop25,garmin,figure8,2,no,0,0
reef,stop25,sony,lawnmower,1,yes,0,0
reef,stop25,sony,lawnmower,1,no,0,0
reef,stop25,sony,lawnmower,2,yes,0,0
reef,stop25,sony,lawnmower,2,no,0,0
reef,stop25,sony,figure8,1,yes,0,0
reef,stop25,sony,figure8,1,no,0,0
reef,stop25,sony,figure8,2,yes,0,0
reef,stop25,sony,figure8,2,no,0,0
reef,stop25,nadir,lawnmower,1,yes,10,2
reef,stop25,nadir,lawnmower,1,no,11,2
reef,stop25,nadir,lawnmower,2,yes,10,2
reef,stop25,nadir,lawnmower,2,no,11,2
reef,stop25,nadir,figure8,1,yes,0,0
reef,stop25,nadir,figure8,1,no,0,0
reef,stop25,nadir,figure8,2,yes,0,0
reef,stop25,nadir,figure8,2,no,0,0
reef,stop50,garmin,lawnmower,1,yes,7,2
reef,stop50,garmin,lawnmower,1,no,7,2
reef,stop50,garmin,lawnmower,2,yes,7,2
reef,stop50,garmin,lawnmower,2,no,8,2
reef,stop50,garmin,figure8,1,yes,0,0
reef,stop50,garmin,figure8,1,no,0,0
reef,stop50,garmin,figure8,2,yes,0,0
reef,stop50,garmin,figure8,2,no,0,0
reef,stop50,sony,lawnmower,1,yes,0,0
reef,stop50,sony,lawnmower,1,no,0,0
reef,stop50,sony,lawnmower,2,yes,0,0
reef,stop50,sony,lawnmower,2,no,0,0
reef,stop50,sony,figure8,1,yes,0,0
reef,stop50,sony,figure8,1,no,0,0
reef,stop50,sony,figure8,2,yes,0,0
reef,stop50,sony,figure8,2,no,0,0
reef,stop50,nadir,lawnmower,1,yes,10,2
reef,stop50,nadir,lawnmower,1,no,9,2
reef,stop50,nadir,lawnmower,2,yes,10,2
reef,stop50,nadir,lawnmower,2,no,11,2
reef,stop50,nadir,figure8,1,yes,0,0
reef,stop50,nadir,figure8,1,no,0,0
reef,stop50,nadir,figure8,2,yes,0,0
reef,stop50,nadir,figure8,2,no,0,0
reef,stop75,garmin,lawnmower,1,yes,7,2
reef,stop75,garmin,lawnmower,1,no,7,2
reef,stop75,garmin,lawnmower,2,yes,9,2
reef,stop75,garmin,lawnmower,2,no,7,2
reef,stop75,garmin,figure8,1,yes,0,0
reef,stop75,garmin,figure8,1,no,0,0
reef,stop75,garmin,figure8,2,yes,0,0
reef,stop75,garmin,figure8,2,no,0,0
reef,stop75,sony,lawnmower,1,yes,0,0
reef,stop75,sony,lawnmower,1,no,0,0
reef,stop75,sony,lawnmower,2,yes,0,0
reef,stop75,sony,lawnmower,2,no,0,0
reef,stop75,sony,figure8,1,yes,0,0
reef,stop75,sony,figure8,1,no,0,0
reef,stop75,sony,figure8,2,yes,0,0
reef,stop75,sony,figure8,2,no,0,0
reef,stop75,nadir,lawnmower,1,yes,11,2
reef,stop75,nadir,lawnmower,1,no,11,2
reef,stop75,nadir,lawnmower,2,yes,11,2
reef,stop75,nadir,lawnmower,2,no,10,2
reef,stop75,nadir,figure8,1,yes,0,0
reef,stop75,nadir,figure8,1,no,0,0
reef,stop75,nadir,figure8,2,yes,0,0
reef,stop75,nadir,figure8,2,no,0,0
reef,random60,garmin,lawnmower,1,yes,0,0
reef,random60,garmin,lawnmower,1,no,0,0
reef,random60,garmin,lawnmower,2,yes,0,0
reef,random60,garmin,lawnmower,2,no,0,0
reef,random60,garmin,figure8,1,yes,0,0
reef,random60,garmin,figure8,1,no,0,0
reef,random60,garmin,figure8,2,yes,0,0
reef,random60,garmin,figure8,2,no,0,0
reef,random60,sony,lawnmower,1,yes,0,0
reef,random60,sony,lawnmower,1,no,0,0
reef,random60,sony,lawnmower,2,yes,0,0
reef,random60,sony,lawnmower,2,no,0,0
reef,random60,sony,figure8,1,yes,0,0
reef,random60,sony,figure8,1,no,0,0
reef,random60,sony,figure8,2,yes,0,0
reef,random60,sony,figure8,2,no,0,0
reef,random60,nadir,lawnmower,1,yes,0,0
reef,random60,nadir,lawnmower,1,no,0,0
reef,random60,nadir,lawnmower,2,yes,0,0
reef,random60,nadir,lawnmower,2,no,0,0
reef,random60,nadir,figure8,1,yes,0,0
reef,random60,nadir,figure8,1,no,0,0
reef,random60,nadir,figure8,2,yes,0,0
reef,random60,nadir,figure8,2,no,0,0
reef,random120,garmin,lawnmower,1,yes,0,0
reef,random120,garmin,lawnmower,1,no,0,0
reef,random120,garmin,lawnmower,2,yes,0,0
reef,random120,garmin,lawnmower,2,no,0,0
reef,random120,garmin,figure8,1,yes,0,0
reef,random120,garmin,figure8,1,no,0,0
reef,random120,garmin,figure8,2,yes,0,0
reef,random120,garmin,figure8,2,no,0,0
reef,random120,sony,lawnmower,1,yes,0,0
reef,random120,sony,lawnmower,1,no,0,0
reef,random120,sony,lawnmower,2,yes,0,0
reef,random120,sony,lawnmower,2,no,0,0
reef,random120,sony,figure8,1,yes,0,0
reef,random120,sony,figure8,1,no,0,0
reef,random120,sony,figure8,2,yes,0,0
reef,random120,sony,figure8,2,no,0,0
reef,random120,nadir,lawnmower,1,yes,0,0
reef,random120,nadir,lawnmower,1,no,0,0
reef,random120,nadir,lawnmower,2,yes,0,0
reef,random120,nadir,lawnmower,2,no,0,0
reef,random120,nadir,figure8,1,yes,0,0
reef,random120,nadir,figure8,1,no,0,0
reef,random120,nadir,figure8,2,yes,0,0
reef,random120,nadir,figure8,2,no,0,0
reef,random180,garmin,lawnmower,1,yes,0,0
reef,random180,garmin,lawnmower,1,no,0,0
reef,random180,garmin,lawnmower,2,yes,0,0
reef,random180,garmin,lawnmower,2,no,0,0
reef,random180,garmin,figure8,1,yes,0,0
reef,random180,garmin,figure8,1,no,0,0
reef,random180,garmin,figure8,2,yes,0,0
reef,random180,garmin,figure8,2,no,0,0
reef,random180,sony,lawnmower,1,yes,0,0
reef,random180,sony,lawnmower,1,no,0,0
reef,random180,sony,lawnmower,2,yes,0,0
reef,random180,sony,lawnmower,2,no,0,0
reef,random180,sony,figure8,1,yes,0,0
reef,random180,sony,figure8,1,no,0,0
reef,random180,sony,figure8,2,yes,0,0
reef,random180,sony,figure8,2,no,0,0
reef,random180,nadir,lawnmower,1,yes,0,0
reef,random180,nadir,lawnmower,1,no,0,0
reef,random180,nadir,lawnmower,2,yes,0,0
reef,random180,nadir,lawnmower,2,no,0,0
reef,random180,nadir,figure8,1,yes,0,0
reef,random180,nadir,figure8,1,no,0,0
reef,random180,nadir,figure8,2,yes,0,0
reef,random180,nadir,figure8,2,no,0,0
nurse,straight,garmin,lawnmower,1,yes,6,2
nurse,straight,garmin,lawnmower,1,no,7,2
nurse,straight,garmin,lawnmower,2,yes,2,1
nurse,straight,garmin,lawnmower,2,no,2,1
nurse,straight,garmin,figure8,1,yes,4,1
nurse,straight,garmin,figure8,1,no,3,1
nurse,straight,garmin,figure8,2,yes,5,1
nurse,straight,garmin,figure8,2,no,4,1
nurse,straight,sony,lawnmower,1,yes,8,2
nurse,straight,sony,lawnmower,1,no,9,2
nurse,straight,sony,lawnmower,2,yes,9,3
nurse,straight,sony,lawnmower,2,no,9,3
nurse,straight,sony,figure8,1,yes,0,0
nurse,straight,sony,figure8,1,no,0,0
nurse,straight,sony,figure8,2,yes,1,1
nurse,straight,sony,figure8,2,no,1,1
nurse,straight,nadir,lawnmower,1,yes,12,2
nurse,straight,nadir,lawnmower,1,no,10,2
nurse,straight,nadir,lawnmower,2,yes,7,2
nurse,straight,nadir,lawnmower,2,no,8,2
nurse,straight,nadir,figure8,1,yes,6,1
nurse,straight,nadir,figure8,1,no,6,1
nurse,straight,nadir,figure8,2,yes,5,1
nurse,straight,nadir,figure8,2,no,6,1
nurse,stop25,garmin,lawnmower,1,yes,6,2
nurse,stop25,garmin,lawnmower,1,no,6,2
nurse,stop25,garmin,lawnmower,2,yes,2,1
nurse,stop25,garmin,lawnmower,2,no,2,1
nurse,stop25,garmin,figure8,1,yes,4,1
nurse,stop25,garmin,figure8,1,no,4,1
nurse,stop25,garmin,figure8,2,yes,4,1
nurse,stop25,garmin,figure8,2,no,3,1
nurse,stop25,sony,lawnmower,1,yes,8,2
nurse,stop25,sony,lawnmower,1,no,9,2
nurse,stop25,sony,lawnmower,2,yes,11,3
nurse,stop25,sony,lawnmower,2,no,10,3
nurse,stop25,sony,figure8,1,yes,0,0
nurse,stop25,sony,figure8,1,no,0,0
nurse,stop25,sony,figure8,2,yes,0,0
nurse,stop25,sony,figure8,2,no,0,0
nurse,stop25,nadir,lawnmower,1,yes,10,2
nurse,stop25,nadir,lawnmower,1,no,12,2
nurse,stop25,nadir,lawnmower,2,yes,7,2
nurse,stop25,nadir,lawnmower,2,no,7,2
nurse,stop25,nadir,figure8,1,yes,5,1
nurse,stop25,nadir,figure8,1,no,5,1
nurse,stop25,nadir,figure8,2,yes,5,1
nurse,stop25,nadir,figure8,2,no,6,1
nurse,stop50,garmin,lawnmower,1,yes,7,2
nurse,stop50,garmin,lawnmower,1,no,7,2
nurse,stop50,garmin,lawnmower,2,yes,2,1
nurse,stop50,garmin,lawnmower,2,no,2,1
nurse,stop50,garmin,figure8,1,yes,3,1
nurse,stop50,garmin,figure8,1,no,3,1
nurse,stop50,garmin,figure8,2,yes,3,1
nurse,stop50,garmin,figure8,2,no,4,1
nurse,stop50,sony,lawnmower,1,yes,8,2
nurse,stop50,sony,lawnmower,1,no,8,2
nurse,stop50,sony,lawnmower,2,yes,9,3
nurse,stop50,sony,lawnmower,2,no,10,3
nurse,stop50,sony,figure8,1,yes,0,0
nurse,stop50,sony,figure8,1,no,0,0
nurse,stop50,sony,figure8,2,yes,1,1
nurse,stop50,sony,figure8,2,no,0,0
nurse,stop50,nadir,lawnmower,1,yes,12,2
nurse,stop50,nadir,lawnmower,1,no,12,2
nurse,stop50,nadir,lawnmower,2,yes,7,2
nurse,stop50,nadir,lawnmower,2,no,8,2
nurse,stop50,nadir,figure8,1,yes,5,1
nurse,stop50,nadir,figure8,1,no,6,1
nurse,stop50,nadir,figure8,2,yes,6,1
nurse,stop50,nadir,figure8,2,no,5,1
nurse,stop75,garmin,lawnmower,1,yes,6,2
nurse,stop75,garmin,lawnmower,1,no,5,2
nurse,stop75,garmin,lawnmower,2,yes,2,1
nurse,stop75,garmin,lawnmower,2,no,1,1
nurse,stop75,garmin,figure8,1,yes,4,1
nurse,stop75,garmin,figure8,1,no,4,1
nurse,stop75,garmin,figure8,2,yes,4,1
nurse,stop75,garmin,figure8,2,no,3,1
nurse,stop75,sony,lawnmower,1,yes,10,2
nurse,stop75,sony,lawnmower,1,no,9,2
nurse,stop75,sony,lawnmower,2,yes,9,3
nurse,stop75,sony,lawnmower,2,no,9,3
nurse,stop75,sony,figure8,1,yes,0,0
nurse,stop75,sony,figure8,1,no,0,0
nurse,stop75,sony,figure8,2,yes,1,1
nurse,stop75,sony,figure8,2,no,0,0
nurse,stop75,nadir,lawnmower,1,yes,11,2
nurse,stop75,nadir,lawnmower,1,no,12,2
nurse,stop75,nadir,lawnmower,2,yes,6,2
nurse,stop75,nadir,lawnmower,2,no,6,2
nurse,stop75,nadir,figure8,1,yes,6,1
nurse,stop75,nadir,figure8,1,no,5,1
nurse,stop75,nadir,figure8,2,yes,5,1
nurse,stop75,nadir,figure8,2,no,5,1
nurse,random60,garmin,lawnmower,1,yes,0,0
nurse,random60,garmin,lawnmower,1,no,0,0
nurse,random60,garmin,lawnmower,2,yes,0,0
nurse,random60,garmin,lawnmower,2,no,0,0
nurse,random60,garmin,figure8,1,yes,0,0
nurse,random60,garmin,figure8,1,no,0,0
nurse,random60,garmin,figure8,2,yes,0,0
nurse,random60,garmin,figure8,2,no,0,0
nurse,random60,sony,lawnmower,1,yes,0,0
nurse,random60,sony,lawnmower,1,no,0,0
nurse,random60,sony,lawnmower,2,yes,0,0
nurse,random60,sony,lawnmower,2,no,0,0
nurse,random60,sony,figure8,1,yes,0,0
nurse,random60,sony,figure8,1,no,0,0
nurse,random60,sony,figure8,2,yes,0,0
nurse,random60,sony,figure8,2,no,0,0
nurse,random60,nadir,lawnmower,1,yes,0,0
nurse,random60,nadir,lawnmower,1,no,0,0
nurse,random60,nadir,lawnmower,2,yes,0,0
nurse,random60,nadir,lawnmower,2,no,0,0
nurse,random60,nadir,figure8,1,yes,0,0
nurse,random60,nadir,figure8,1,no,0,0
nurse,random60,nadir,figure8,2,yes,0,0
nurse,random60,nadir,figure8,2,no,0,0
nurse,random120,garmin,lawnmower,1,yes,0,0
nurse,random120,garmin,lawnmower,1,no,0,0
nurse,random120,garmin,lawnmower,2,yes,0,0
nurse,random120,garmin,lawnmower,2,no,0,0
nurse,random120,garmin,figure8,1,yes,0,0
nurse,random120,garmin,figure8,1,no,0,0
nurse,random120,garmin,figure8,2,yes,0,0
nurse,random120,garmin,figure8,2,no,0,0
nurse,random120,sony,lawnmower,1,yes,0,0
nurse,random120,sony,lawnmower,1,no,0,0
nurse,random120,sony,lawnmower,2,yes,0,0
nurse,random120,sony,lawnmower,2,no,0,0
nurse,random120,sony,figure8,1,yes,0,0
nurse,random120,sony,figure8,1,no,0,0
nurse,random120,sony,figure8,2,yes,0,0
nurse,random120,sony,figure8,2,no,0,0
nurse,random120,nadir,lawnmower,1,yes,0,0
nurse,random120,nadir,lawnmower,1,no,0,0
nurse,random120,nadir,lawnmower,2,yes,0,0
nurse,random120,nadir,lawnmower,2,no,0,0
nurse,random120,nadir,figure8,1,yes,0,0
nurse,random120,nadir,figure8,1,no,0,0
nurse,random120,nadir,figure8,2,yes,0,0
nurse,random120,nadir,figure8,2,no,0,0
nurse,random180,garmin,lawnmower,1,yes,0,0
nurse,random180,garmin,lawnmower,1,no,0,0
nurse,random180,garmin,lawnmower,2,yes,0,0
nurse,random180,garmin,lawnmower,2,no,0,0
nurse,random180,garmin,figure8,1,yes,0,0
nurse,random180,garmin,figure8,1,no,0,0
nurse,random180,garmin,figure8,2,yes,0,0
nurse,random180,garmin,figure8,2,no,0,0
nurse,random180,sony,lawnmower,1,yes,0,0
nurse,random180,sony,lawnmower,1,no,0,0
nurse,random180,sony,lawnmower,2,yes,0,0
nurse,random180,sony,lawnmower,2,no,0,0
nurse,random180,sony,figure8,1,yes,0,0
nurse,random180,sony,figure8,1,no,0,0
nurse,random180,sony,figure8,2,yes,0,0
nurse,random180,sony,figure8,2,no,0,0
nurse,random180,nadir,lawnmower,1,yes,0,0
nurse,random180,nadir,lawnmower,1,no,0,0
nurse,random180,nadir,lawnmower,2,yes,0,0
nurse,random180,nadir,lawnmower,2,no,0,0
nurse,random180,nadir,figure8,1,yes,0,0
nurse,random180,nadir,figure8,1,no,0,0
nurse,random180,nadir,figure8,2,yes,0,0
nurse,random180,nadir,figure8,2,no,0,0
whale_shark,straight,garmin,lawnmower,1,yes,9,2
whale_shark,straight,garmin,lawnmower,1,no,9,2
whale_shark,straight,garmin,lawnmower,2,yes,7,2
whale_shark,straight,garmin,lawnmower,2,no,8,2
whale_shark,straight,garmin,figure8,1,yes,0,0
whale_shark,straight,garmin,figure8,1,no,0,0
whale_shark,straight,garmin,figure8,2,yes,0,0
whale_shark,straight,garmin,figure8,2,no,0,0
whale_shark,straight,sony,lawnmower,1,yes,0,0
whale_shark,straight,sony,lawnmower,1,no,0,0
whale_shark,straight,sony,lawnmower,2,yes,0,0
whale_shark,straight,sony,lawnmower,2,no,0,0
whale_shark,straight,sony,figure8,1,yes,0,0
whale_shark,straight,sony,figure8,1,no,0,0
whale_shark,straight,sony,figure8,2,yes,0,0
whale_shark,straight,sony,figure8,2,no,0,0
whale_shark,straight,nadir,lawnmower,1,yes,12,2
whale_shark,straight,nadir,lawnmower,1,no,12,2
whale_shark,straight,nadir,lawnmower,2,yes,12,2
whale_shark,straight,nadir,lawnmower,2,no,11,2
whale_shark,straight,nadir,figure8,1,yes,0,0
whale_shark,straight,nadir,figure8,1,no,0,0
whale_shark,straight,nadir,figure8,2,yes,0,0
whale_shark,straight,nadir,figure8,2,no,0,0
whale_shark,stop25,garmin,lawnmower,1,yes,9,2
whale_shark,stop25,garmin,lawnmower,1,no,9,2
whale_shark,stop25,garmin,lawnmower,2,yes,7,2
whale_shark,stop25,garmin,lawnmower,2,no,8,2
whale_shark,stop25,garmin,figure8,1,yes,0,0
whale_shark,stop25,garmin,figure8,1,no,0,0
whale_shark,stop25,garmin,figure8,2,yes,0,0
whale_shark,stop25,garmin,figure8,2,no,0,0
whale_shark,stop25,sony,lawnmower,1,yes,0,0
whale_shark,stop25,sony,lawnmower,1,no,0,0
whale_shark,stop25,sony,lawnmower,2,yes,0,0
whale_shark,stop25,sony,lawnmower,2,no,0,0
whale_shark,stop25,sony,figure8,1,yes,0,0
whale_shark,stop25,sony,figure8,1,no,0,0
whale_shark,stop25,sony,figure8,2,yes,0,0
whale_shark,stop25,sony,figure8,2,no,0,0
whale_shark,stop25,nadir,lawnmower,1,yes,12,2
whale_shark,stop25,nadir,lawnmower,1,no,12,2
whale_shark,stop25,nadir,lawnmower,2,yes,11,2
whale_shark,stop25,nadir,lawnmower,2,no,12,2
whale_shark,stop25,nadir,figure8,1,yes,0,0
whale_shark,stop25,nadir,figure8,1,no,0,0
whale_shark,stop25,nadir,figure8,2,yes,0,0
whale_shark,stop25,nadir,figure8,2,no,0,0
whale_shark,stop50,garmin,lawnmower,1,yes,9,2
whale_shark,stop50,garmin,lawnmower,1,no,8,2
whale_shark,stop50,garmin,lawnmower,2,yes,7,2
whale_shark,stop50,garmin,lawnmower,2,no,9,2
whale_shark,stop50,garmin,figure8,1,yes,0,0
whale_shark,stop50,garmin,figure8,1,no,0,0
whale_shark,stop50,garmin,figure8,2,yes,0,0
whale_shark,stop50,garmin,figure8,2,no,0,0
whale_shark,stop50,sony,lawnmower,1,yes,0,0
whale_shark,stop50,sony,lawnmower,1,no,0,0
whale_shark,stop50,sony,lawnmower,2,yes,0,0
whale_shark,stop50,sony,lawnmower,2,no,0,0
whale_shark,stop50,sony,figure8,1,yes,0,0
whale_shark,stop50,sony,figure8,1,no,0,0
whale_shark,stop50,sony,figure8,2,yes,0,0
whale_shark,stop50,sony,figure8,2,no,0,0
whale_shark,stop50,nadir,lawnmower,1,yes,12,2
whale_shark,stop50,nadir,lawnmower,1,no,14,2
whale_shark,stop50,nadir,lawnmower,2,yes,12,2
whale_shark,stop50,nadir,lawnmower,2,no,11,2
whale_shark,stop50,nadir,figure8,1,yes,0,0
whale_shark,stop50,nadir,figure8,1,no,0,0
whale_shark,stop50,nadir,figure8,2,yes,0,0
whale_shark,stop50,nadir,figure8,2,no,0,0
whale_shark,stop75,garmin,lawnmower,1,yes,8,2
whale_shark,stop75,garmin,lawnmower,1,no,9,2
whale_shark,stop75,garmin,lawnmower,2,yes,7,2
whale_shark,stop75,garmin,lawnmower,2,no,9,2
whale_shark,stop75,garmin,figure8,1,yes,0,0
whale_shark,stop75,garmin,figure8,1,no,0,0
whale_shark,stop75,garmin,figure8,2,yes,0,0
whale_shark,stop75,garmin,figure8,2,no,0,0
whale_shark,stop75,sony,lawnmower,1,yes,0,0
whale_shark,stop75,sony,lawnmower,1,no,0,0
whale_shark,stop75,sony,lawnmower,2,yes,0,0
whale_shark,stop75,sony,lawnmower,2,no,0,0
whale_shark,stop75,sony,figure8,1,yes,0,0
whale_shark,stop75,sony,figure8,1,no,0,0
whale_shark,stop75,sony,figure8,2,yes,0,0
whale_shark,stop75,sony,figure8,2,no,0,0
whale_shark,stop75,nadir,lawnmower,1,yes,13,2
whale_shark,stop75,nadir,lawnmower,1,no,12,2
whale_shark,stop75,nadir,lawnmower,2,yes,10,2
whale_shark,stop75,nadir,lawnmower,2,no,13,2
whale_shark,stop75,nadir,figure8,1,yes,0,0
whale_shark,stop75,nadir,figure8,1,no,0,0
whale_shark,stop75,nadir,figure8,2,yes,0,0
whale_shark,stop75,nadir,figure8,2,no,0,0
whale_shark,random60,garmin,lawnmower,1,yes,0,0
whale_shark,random60,garmin,lawnmower,1,no,0,0
whale_shark,random60,garmin,lawnmower,2,yes,0,0
whale_shark,random60,garmin,lawnmower,2,no,0,0
whale_shark,random60,garmin,figure8,1,yes,0,0
whale_shark,random60,garmin,figure8,1,no,0,0
whale_shark,random60,garmin,figure8,2,yes,0,0
whale_shark,random60,garmin,figure8,2,no,0,0
whale_shark,random60,sony,lawnmower,1,yes,0,0
whale_shark,random60,sony,lawnmower,1,no,0,0
whale_shark,random60,sony,lawnmower,2,yes,0,0
whale_shark,random60,sony,lawnmower,2,no,0,0
